"Group2","Group","TP","Pheno.Treat","Cage","Cage.Pheno","LD","LDsd","LDse","LDm","LDmsd","LDmse","LDf","LDfsd","LDfse","SRM","SRMsd","SRMse","SRF","SRFsd","SRFse","Fec","Fecsd","Fecse","TOTF","TOTFsd","TOTFse","Viab","Viabsd","Viabse","BS","BSse"
"1-B4-bb","1-bb","1","b","B4","bb",213.9779798,0.961501404426961,0.555123094672109,213.9393827,1.80100417661312,1.03981024617922,214.4025397,1.79541903283885,1.03658566191769,54.6666666666667,7.43325859454206,4.29159385051496,56.1333333333333,2.83783955383904,1.63842743032593,39.0433333333333,6.00796415879234,3.46869972436038,117.133333333333,18.0181390086028,10.4027774069129,0.946666666666667,0.0611010092660779,0.0352766841475279,1253.7875,9.378612365
"1-B5-bb","1-bb","1","b","B5","bb",222.0408107,4.19436750920502,2.42161921051974,226.361538466667,5.42286961014544,3.13089522919771,218.674747466667,3.67856987278096,2.12382330628293,61.0666666666667,4.83873261643308,2.79364357863426,51.4666666666667,1.28582010146573,0.742368581710669,37.3533333333333,6.48080499115143,3.74169450620675,112.05,19.4424149734543,11.2250835186203,1,0,0,1299.6725,10.55499337
"1-B6-bb","1-bb","1","b","B6","bb",220.144107666667,6.89256467474001,3.97942407036805,222.860157133333,8.30837155830757,4.79684055571631,217.613544966667,5.39418069120914,3.11433167412708,56.4,3.85746030439718,2.22710574513201,53.4666666666667,3.2331615074619,1.86666666666667,36.1566666666667,3.73075506209311,2.15395243938001,108.466666666667,11.2023806993573,6.46769751233861,0.98,0.0346410161513776,0.02,1314.3025,13.2632244
"2-A1-aa","2-aa","2","a","A1","aa",244.097230666667,5.56583447085546,3.2134360300133,250.624241766667,10.7187702687876,6.18848490006627,237.698412666667,2.40574394024943,1.38895691150432,53.0666666666667,9.27218061371398,5.3532959733026,61.3333333333333,6.50333247907051,3.75470075742099,14.58,3.65106833680226,2.1079452870825,43.7333333333333,10.9587103864156,6.3270143915682,0.86,0.0721110255092797,0.0416333199893226,1152.325,19.67342241
"2-A1-ab","2-ab","2","b","A1","ab",208.4323781,5.48188367402225,3.16496701486296,212.574358966667,6.00759545473655,3.46848685297452,204.357142866667,4.90077275554314,2.82946246965001,43.1851851866667,1.82835463192519,1.05560103891611,32.4,3.12409987036266,1.80369990112916,29.3133333333333,4.44000375375217,2.56343736243176,87.9333333333333,13.3151542737339,7.68750790424164,0.906666666666667,0.113724814061547,0.065659052011974,1282.219167,8.77262637
"2-A2-aa","2-aa","2","a","A2","aa",232.39265,4.42056108629273,2.55221213314029,236.089065266667,4.69069652225088,2.70817489980839,228.3089133,6.06260232989276,3.50024508715324,57.8666666666667,11.0296569907379,6.36797543267176,52.1333333333333,11.5746850209124,6.68264751260889,10.13,4.04474968323134,2.33523731841827,30.4,12.134249049694,7.0057119552548,0.84,0.14,0.0808290376865476,1199.3625,19.88183194
"2-A2-ab","2-ab","2","b","A2","ab",208.7124183,2.02752430380617,1.170591702591,211.886639666667,5.09406348351323,2.94105892347541,204.806045766667,3.23251129214343,1.86629126467751,51.6,4.84974226119285,2.8,40.9333333333333,1.4047538337137,0.811035004039762,21.51,4.41103162536838,2.54671029631039,64.5333333333333,13.2322837535073,7.63966258708096,0.973333333333333,0.04618802153517,0.0266666666666667,1295.66,8.650649126
"2-A3-aa","2-aa","2","a","A3","aa",233.309757233333,1.59679474222712,0.921909874265408,233.758431366667,3.30931061549556,1.91063137468845,231.884967333333,5.97318282466951,3.44861871174179,62.6666666666667,2.66333124739175,1.53767501262277,66.4,14.3164241345386,8.26559132790873,14.1533333333333,1.16517523717823,0.672714236837935,42.4666666666667,3.50047615808669,2.02100085216322,0.72,0.105830052442584,0.0611010092660779,1189.0125,20.54295224
"2-A3-ab","2-ab","2","b","A3","ab",216.941075333333,6.85885273319648,3.95996047184299,218.8986569,6.10812569544154,3.52652801450724,215.356684833333,7.73594404298642,4.46634937565409,44.1333333333333,1.89032625050104,1.09138036958299,20.8,5.6,3.2331615074619,28.61,5.65130073522901,3.262780000756,85.8333333333333,16.9541538666291,9.78848529878063,0.92,0.13856406460551,0.08,1288.7425,17.83259576
"2-A4-aa","2-aa","2","a","A4","aa",232.9024259,2.04583367211223,1.18116262131119,234.291358033333,0.442051163061032,0.255218357988874,230.3796783,5.93149108512802,3.42454797469453,55.0666666666667,4.27707064862545,2.46936789032695,56.1333333333333,4.63609030685699,2.6766479866513,13.51,2.20596917476197,1.27361689687284,40.5333333333333,6.61614187675365,3.81983129354048,0.88,0.105830052442584,0.0611010092660779,1205.795,16.220877
"2-A4-ab","2-ab","2","b","A4","ab",205.593159833333,2.96857415323852,1.71390708648163,207.393088066667,2.35964032215764,1.36233897518841,203.7839599,4.28129575700339,2.47180725778631,47.8666666666667,2.8936712552281,1.67066187815222,39.4370370366667,3.20688559544227,1.85149626178893,15.11,5.39047307756935,3.1121910823941,45.3333333333333,16.1744654728783,9.33833199476461,0.86,0.04,0.0230940107675851,1311.855833,12.95055887
"2-A5-aa","2-aa","2","a","A5","aa",234.576468333333,4.14460191603235,2.39288703190512,238.235854333333,7.42234811447357,4.28529468191042,231.6743997,2.47654366568121,1.42983315204091,57.6,6.43739077577243,3.71662929727103,75.3333333333333,11.3160652761167,6.53333333333333,15.7566666666667,3.88568312312434,2.24340019712142,47.2666666666667,11.6487481444717,6.7254078769329,0.88,0.105830052442584,0.0611010092660779,1162.400833,22.81480605
"2-A5-ab","2-ab","2","b","A5","ab",212.836311833333,6.57113673016972,3.79384756004532,215.666666666667,4.04145188432738,2.33333333333333,210.5253968,8.63324313764991,4.98440524950167,52,3.17490157327751,1.83303027798234,53.4666666666667,5.99110451697626,3.45896580561943,16.91,5.6405939403577,3.25659842985489,50.7333333333333,16.916658456484,9.76683731364003,0.746666666666667,0.340196021924615,0.196412264835416,1278.119167,9.616352035
"2-A6-aa","2-aa","2","a","A6","aa",238.366692833333,2.18914755296581,1.26390492900062,238.827810266667,4.99147361213685,2.88182863362012,238.111688333333,2.59490400833003,1.49816852773058,66.4,8,4.61880215351701,81.7333333333333,11.4984056865869,6.63860761840245,11.38,0.970721381241807,0.560446250768082,34.1333333333333,2.91433239925259,1.68259059521653,0.906666666666667,0.110151410945722,0.0635959467611297,1169.385833,16.20077493
"2-A6-ab","2-ab","2","b","A6","ab",214.466570166667,4.43075926769951,2.55810005592074,215.364130433333,4.01842916199086,2.32004115839487,213.320072,5.01785735834336,2.89706129659468,47.2,5.6,3.2331615074619,27.0666666666667,0.61101009266078,0.35276684147528,34.98,3.30821704245655,1.91,104.933333333333,9.93042463006156,5.73333333333333,0.966666666666667,0.0416333199893226,0.0240370085030932,1319.030833,13.11883797
"2-B1-ba","2-ba","2","a","B1","ba",234.990361366667,4.89449530491691,2.82583818184114,239.785355866667,5.8209298512086,3.36071541652921,230.009059033333,4.4119396484581,2.54723454368567,49.2,5.64269439186635,3.25781112609883,61.7333333333333,9.61110468850138,5.54897387911595,13.51,2.45218270118684,1.41576834263237,40.5333333333333,7.36568620926342,4.25258091568455,0.953333333333333,0.0416333199893226,0.0240370085030933,1138.734167,23.22700663
"2-B1-bb","2-bb","2","b","B1","bb",219.761140433333,1.53749064755174,0.887670639240529,221.420490633333,4.7627391129192,2.74976870892386,218.026210833333,2.16625464392496,1.25068770180335,45.7777777766667,2.82633121725491,1.63178308910116,56.8,3.12409987036266,1.80369990112916,31.0433333333333,3.50007618964692,2.02076993027685,93.1333333333333,10.488724104167,6.05566768499652,0.846666666666667,0.0901849950564579,0.052068331172711,1292.78,8.741977968
